gene_name	ensembl_id	gene_synonym	category
IFIT5	ENSG00000152778	IFIT5	ISG
IFITM1	ENSG00000185885	IFITM1	ISG
IFITM2	ENSG00000185201	IFITM2	ISG
IFITM3	ENSG00000142089	IFITM3	ISG
IRF1	ENSG00000125347	IRF1	ISG
IRF7	ENSG00000276561	IRF7	ISG
IRF7	ENSG00000185507	IRF7	ISG
ISG15	ENSG00000187608	ISG15	ISG
ISG20	ENSG00000172183	ISG20	ISG
ITGB1	ENSG00000150093	ITGB1	CD147_interactor
JADE2	ENSG00000043143	PHF15	ISG
MAP3K14	ENSG00000282637	NIK	ISG
MAP3K14	ENSG00000006062	NIK	ISG
MEP1A	ENSG00000112818	MEP1A	ACE2_interactor
MEP1B	ENSG00000141434	MEP1B	ACE2_interactor
MME	ENSG00000196549	MME	ACE2_interactor
MMP1	ENSG00000196611	MMP1	CD147_interactor
MMP14	ENSG00000157227	MMP14	FURIN_interactor
MMP17	ENSG00000198598	MMP17	FURIN_interactor
MMP25	ENSG00000008516	MMP25	FURIN_interactor
MOV10	ENSG00000155363	MOV10	ISG
MS4A4A	ENSG00000110079	MS4A4A	ISG
MX1	ENSG00000157601	MxA	ISG
MX2	ENSG00000183486	MxB	ISG
NAMPT	ENSG00000105835	PBEF1	ISG
NGF	ENSG00000134259	NGF	FURIN_interactor
NOTCH1	ENSG00000148400	NOTCH1	FURIN_interactor
OAS1	ENSG00000089127	OAS1	ISG
OAS2	ENSG00000111335	OAS2	ISG
OAS3	ENSG00000111331	OAS3	ISG
OASL	ENSG00000135114	OASL	ISG
P2RY6	ENSG00000171631	P2RY6	ISG
P4HB	ENSG00000185624	P4HB	GRP78_interactor
PDIA3	ENSG00000167004	PDIA3	GRP78_interactor
PML	ENSG00000140464	TRIM19	ISG
PPIA	ENSG00000196262	PPIA	CD147_interactor
PPIB	ENSG00000166794	PPIB	CD147_interactor
PPIL2	ENSG00000100023	PPIL2	CD147_interactor
PRCP	ENSG00000137509	PRCP	ACE2_interactor
REN	ENSG00000143839	REN	ACE2_interactor
RSAD2	ENSG00000134321	viperin	ISG
RTP4	ENSG00000136514	RTP4	ISG
SLC15A3	ENSG00000110446	SLC15A3	ISG
SLC16A1	ENSG00000155380	SLC16A1	CD147_interactor
SLC16A1	ENSG00000281917	SLC16A1	CD147_interactor
SLC16A3	ENSG00000141526	SCLC16A3	CD147_interactor
SLC16A8	ENSG00000100156	SLC16A8	CD147_interactor
SLC25A28	ENSG00000155287	SLC25A28	ISG
SLC3A2	ENSG00000168003	SLC3A2	CD147_interactor
SSBP3	ENSG00000157216	SSBP3	ISG
ST3GAL4	ENSG00000110080	ST3GAL4	influenza_receptor
ST6GAL1	ENSG00000073849	ST6GAL1	influenza_receptor
SUN2	ENSG00000100242	UNC84B	ISG
TGFB1	ENSG00000105329	TGFB1	FURIN_interactor
TMPRSS2	ENSG00000184012	TMPRSS2	entry_associated_protease
TREX1	ENSG00000213689	AGS1	ISG
TRIM25	ENSG00000121060	TRIM25	ISG
TRIM5	ENSG00000132256	TRIM5	ISG
XPNPEP2	ENSG00000122121	XPNPEP2	ACE2_interactor
ZC3HAV1	ENSG00000105939	ZAP	ISG
ACE2	ENSG00000130234	ACE2	ACE2
